index,text,topic,subtopic
4,"ไฟล์สมัคในเว็บมธ.อยู่ตรงไหนเหรอคะมีใครพอจะทราบไหม
#ธรรมศาสตร์ช้างเผือก","['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['การสมัคร', 'การเข้าถึงข้อมูล']"
6,ขอสอบถามหน่อยค่ะ ถ้าอัพโหลดไฟล์สมัครแล้ว มันยังไม่ขึ้นจำนวนผู้สมัครว่าจาก6เป็น7 นี่คือต้องรอระบบใช่ไหมคะ #โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก', 'ระบบ']","['การสมัคร', 'การอัพโหลดเอกสาร', 'การแสดงผล']"
8,มีใครกู้กยศมั้ยคะ อยากถามว่าตรง ประเภททุนเขียนว่าอะไร  #ธรรมศาสตร์ช้างเผือก,"['กยศ', 'ทุนการศึกษา']","['เอกสาร', 'การสมัคร']"
12,"อยากจะสอบค่ะถามว่าพอร์ตนี่คือเเบบฟอร์มที่ทาง มธ.จัดมาให้ประมาณ18หน้าโดยเราเเนบสำเนา
เกียรติบัตรไป หรือว่าทำพอร์ตเเยกเเบบทั่วไป+แบบฟอร์มที่ให้มาคะ ใครพอจะทราบช่วยกรุณาหนูด้วยฮะ #โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก #dek63 #รอบ2","['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก', 'เอกสาร']","['Portfolio', 'การสมัคร']"
2,มีรุ่นพี่คนไหนที่ติดโครงการนี้บ้างมั้ยคะ อยากได้คำปรึกษามากๆเลย ;-; #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['คำแนะนำ', 'รุ่นพี่']"
9,มีพี่คนไหนติดรอบนี้ไหมคะอยากปรึกษาค่ะ #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['คำแนะนำ', 'รุ่นพี่']"
10,ใบรับรองฐานะที่ให้ผู้ใหญ่บ้านเขียนสามารถลบลิขวิดได้มั้ยคะ #ธรรมศาสตร์ช้างเผือก #จุฬาชนบท,"['ทุนการศึกษา', 'เอกสาร']","['ใบรับรอง', 'การแก้ไขเอกสาร']"
11,น้องๆ คนไหนสนใจหรือมีข้อสงสัยเกี่ยวกับเรื่องทุนช้างเผือกของมหาวิทยาลัยธรรมศาสตร์ (ช้างเผือก มธ.) DM มาได้เลยนะครับยินดีให้คำแนะนำ #ช้างเผือกมธ #ธรรมศาสตร์  #ธรรมศาสตร์ช้างเผือก #ทีมมธ,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['คำแนะนำ', 'ข้อมูล']"
13,"มีพี่ๆคนไหนติดรอบนี้บ้างคะ อยากได้คำแนะนำมากๆ
 #ธรรมศาสตร์ช้างเผือก","['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['คำแนะนำ', 'รุ่นพี่']"
36,มีกรุ๊ปไลน์ของโครงการหรือเปล่าใครมีเชิญเราเข้าหน่อยจิเเบบที่ไว้สอบถามกันเองอ่า #ธรรมศาสตร์ช้างเผือก,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['กลุ่มไลน์', 'การสื่อสาร']"
40,มีใครมีกลุ่มไลน์ศิลปศาสตร์มั้ยคะ #ธรรมศาสตร์ช้างเผือก,"['คณะ', 'ศิลปศาสตร์']","['กลุ่มไลน์', 'การสื่อสาร']"
42,#ธรรมศาสตร์ช้างเผือก อยากขอคำเเนะนำจากรุ่นพี่ที่ได้โครงการนี้หน่อยคะ มีหลายคำถามเลย รบกวนด้วยค่ะ,"['ทุนการศึกษา', 'ธรรมศาสตร์ช้างเผือก']","['คำแนะนำ', 'รุ่นพี่']"
60,ถ้าไม่โดนโทร คือไม่ติดรึเปล่าคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'ผลการพิจารณา']"
62,เค้าโทรเป็นจังหวัดๆไป หรือเป็นคณะอ่ะค่ะ แล้วศรีสะเกษมีคนโดนโทรยัง #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'การสื่อสาร']"
73,คนที่ไม่โดนโทรหายังมีสิทธิ์หวังอยู่มั้ยคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'ผลการพิจารณา']"
81,ตอนนี้ยังไม่มีใครโทรมายังพอมีหวังไหมคะ#ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['เกณฑ์การพิจารณา', 'ผลการพิจารณา']"
98,มีใครติดรัฐศาสตร์ IA มั้ยคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ผลการพิจารณา', 'ข้อมูล']"
99,มีใครติดธรรมศาสตร์ช้างเผือก วิศวะไฟฟ้ามั้ยคะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ผลการพิจารณา', 'ข้อมูล']"
104,"มีใครติดรัฐศาสตร์ไหม 
 #ธรรมศาสตร์ช้างเผือก","['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ผลการพิจารณา', 'ข้อมูล']"
96,อยากรู้ว่าคนที่ติดมีคนโทรมาหรือมาเยี่ยมรึเปล่าคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การคัดเลือก', 'การติดต่อ']"
92,อยากสมัครบ้างแต่ไม่ได้อยู่ในพท. #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['คุณสมบัติผู้สมัคร', 'เกณฑ์การพิจารณา']"
90,อยากคุยกับรุ่นพี่โครงการ #ธรรมศาสตร์ช้างเผือก มีเรื่องอยากถามคับ;-;,['ธรรมศาสตร์ช้างเผือก'],"['รุ่นพี่', 'การสื่อสาร', 'คำแนะนำ']"
89,มีใครติดสหเวชบ้างมั้ยคะ  รุ่นพี่ก็ได้นะคะ มีเรื่องอยากปรึกษา #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รุ่นพี่', 'การสื่อสาร', 'คำแนะนำ']"
88,ใครติดธรรมศาสตร์ สาขา เกษตร บ้าง มีคนติดมั้ย  #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']",['ผลการพิจารณา']
108,เพื่อนเราคือไม่มาเยี่ยม ไม่โทรหา แต่ติด งงเลย #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การคัดเลือก', 'การติดต่อ']"
109,มีใครติดโครงการช้างเผือก คณะสังคมวิทยาและมานุษยวิทยาบ้างอ่ะ ตอนนี้เคว้งไปหมด ทักมาคุยกับเราได้น้าาา หรือเพื่อนคนไหนก็ได้น้าาา หรือมีรุ่นพี่คนไหนผ่านมา ช่วยน้องด้วยน้าาา #โครงการธรรมศาสตร์ช้างเผือก #มหาวิทยาลัยธรรมศาสตร์ #ธรรมศาสตร์ช้างเผือก #TU,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['เพื่อน', 'รุ่นพี่', 'การสื่อสาร']"
112,อย่าลืมน่าาาวันที่3สิงหาคม2563 เรามีการปฐมนิเทศโครงการนักศึกษาเรียนจากชนบทหรือโครงการธรรมศาสตร์ช้างเผือกนั้นเอง อยากให้น้องๆเข้ามาดูกันเยอะๆๆนะ ถึงแม้ปีนี้จะเป็นแบบออนไลน์ แต่พวกพี่ก็จะทำให้เต็มที่ที่สุด น้องคนไหนไม่ทราบเรื่องมีการปฐมนิเทศทักมาถามได้นะคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การปฐมนิเทศ', 'ข้อมูล']"
113,มีรุ่นพี่คนไหนติดโครงการนี้ไหมคะ หนูสนใจอยากสมัครสอบมากๆ อยากได้คำปรึกษามากๆเลยค่ะ หนูอยากเข้า ศิลปศาสตร์ เอกอิ้ง แล้วอยากสอบเข้าด้วยโครงการนี้ หรือใครมีกรุ๊ปไลน์ไว้ปรึกษาเรื่องนี้เราขอเข้าด้วยคนได้ไหมคะ ขอบคุณล่วงหน้าเลยค่ะ #ธรรมศาสตร์ช้างเผือก #โครงการธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ศิลปศาสตร์']","['รุ่นพี่', 'การสมัคร', 'กลุ่มไลน์', 'คำแนะนำ']"
115,น้องๆคนไหนที่สนใจอยากเข้าโครงการธรรมศาสตร์ช้างเผือก dm มาถามพี่ได้นะคะ บางอย่างอาจจะลืมๆไปหมดแน้ว จะพยายามค้นมาตอบให้ได้มากที่สุดน้า  (ใครอยากเข้าพยาบาลรีวิวให้เป็นพิเศษได้น้า) #ธรรมศาสตร์ช้างเผือก #Dek64 #พยาบาลมธ,['ธรรมศาสตร์ช้างเผือก'],"['รุ่นพี่', 'การสมัคร', 'คำแนะนำ']"
114,สวัสดีค่ะมีพี่คนไหนที่ติดคณะศิลปศาสตร์รอบนี้ไหมคะ มีเรื่องอยากสอบถามค่ะ #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'ศิลปศาสตร์']","['รุ่นพี่', 'การสื่อสาร']"
118,มีพี่ๆคนไหนติดธรรมศาสตร์ช้างเผือกวารสารบ้างคะน้องอยากปรึกษาค่า;-; #โครงการธรรมศาสตร์ช้างเผือก #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['รุ่นพี่', 'การสื่อสาร', 'คำแนะนำ']"
119,มีใครสมัครโครงการธรรมศาสตร์ช้างเผือกเหมือนกันมั้ยคะ อยากสอบถามอะไรหน่อย #Dek64 #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การสมัคร', 'การสื่อสาร']"
125,ถ้าเราเรียนอยู่กทม.มา2ปี แต่ทะเบียนบ้านพ่อแม่กับของเราอยู่ที่ตจว.ก็คือไม่ได้ใช่ไหมคะ ติดตรงนี้เลยจริงๆ  #ธรรมศาสตร์ช้างเผือก #มธ #tcas64,['ธรรมศาสตร์ช้างเผือก'],"['คุณสมบัติผู้สมัคร', 'เกณฑ์การพิจารณา']"
122,ปีนี้กรรมการจะเยี่ยมบ้านไหมคะ #ธรรมศาสตร์ช้างเผือก,['ธรรมศาสตร์ช้างเผือก'],"['การคัดเลือก', 'การเยี่ยมบ้าน']"
123,อยากรู้จำนวนผู้สมัครคณะวารสาร แต่หลังจากส่งใบสมัคร ดูไม่ได้เยย #ธรรมศาสตร์ช้างเผือก,"['ธรรมศาสตร์ช้างเผือก', 'คณะ']","['ข้อมูล', 'สถิติผู้สมัคร']"
124,ใครมีไลน์กลุ่มของ #ธรรมศาสตร์ช้างเผือก มั้ยคะ บอกนุที t-t,['ธรรมศาสตร์ช้างเผือก'],"['กลุ่มไลน์', 'การสื่อสาร']"
